Building for debugging...
[0/3] Write swift-version--58304C5D6DBC2206.txt
Build of product 'App' complete! (0.18s)
[ NOTICE ] Server started on http://0.0.0.0:8090
[ INFO ] GET /api/health [request-id: 1F3D67C6-876D-4D2B-B2B8-434B758154FD]
[ INFO ] GET /hub.html [request-id: 466DF304-C82B-4D17-9DC2-7DB033334DCB]
[ INFO ] GET /js/auth.js [request-id: AF38CB9C-E38D-4BC3-90DC-C0B917E28841]
[ INFO ] GET /images/lyra.jpeg [request-id: 59E40E33-395D-47D1-B9CF-9D246006F176]
[ INFO ] GET /js/cursor-fx.js [request-id: F34A57A1-221E-4649-8EDC-C6F06DAB837E]
[ INFO ] GET /css/style.css [request-id: 1556BF41-8CD5-4CD3-8CE9-5861454C65E9]
[ INFO ] GET /js/api.js [request-id: 98A872CA-2956-4DD1-9CDA-71CF1FC57E00]
[ INFO ] GET /index.html [request-id: D45A1740-AEBD-4084-8F4A-2D33DD4DD218]
[ INFO ] GET /css/style.css [request-id: BBB29C28-8D36-42AC-A5C2-E02E66820EBA]
[ INFO ] GET /favicon.ico [request-id: 8A55089E-CA22-4E1D-A3F6-CDC6DA3443E4]
[ INFO ] GET /apple-touch-icon-precomposed.png [request-id: 4E809210-1AE5-41DE-9B6C-0657B2F96251]
[ INFO ] GET /apple-touch-icon.png [request-id: D9CC3006-C5E2-4549-98AB-045F7F7E66A1]
[ INFO ] GET /admin/ [request-id: 882D0F85-9ED4-4DD7-9F50-395A53601FBA]
[ INFO ] GET /js/api.js [request-id: 3AD44659-2E53-4A22-9A3F-A8D115CC4AC4]
[ INFO ] GET /api/chat/unread [request-id: B83DBB62-2A81-4AF7-8BA3-487B1B7FF45F]
[ INFO ] GET /admin.html [request-id: 072BFC94-4532-4DF7-BFCC-A516564A26D9]
[ INFO ] GET /admin.html [request-id: 43194044-20F9-4828-9688-3BEC323C5363]
[ INFO ] GET /admin.html [request-id: D3E96264-A42D-4A42-B19C-8AE9023AE3C1]
[ INFO ] GET /admin/index.html [request-id: F4C55F9F-769F-4D6A-B320-ADE1F363BEBF]
[ INFO ] GET /api/chat/unread [request-id: 7B96AC2A-743C-4201-BD0B-6CE0303C561D]
[ INFO ] POST /api/admin/login [request-id: 6E9A6C4C-F1C7-4BAF-B23B-511326957B49]
[ INFO ] GET /api/games [request-id: C5A52930-3968-4C60-AFD7-D2612FE7135D]
[ INFO ] GET /api/admin/students [request-id: 5C089A9E-B676-4158-AB6D-E5C8856DFDD5]
[ INFO ] GET /api/admin/overview [request-id: D4335F4A-057C-4E44-ACC4-75A135F0594C]
[ INFO ] GET /api/chat/all [request-id: 105C0E5E-1F2C-485A-B38A-587B0B8B8DE6]
[ INFO ] GET /api/admin/klassen/list [request-id: 416D1C99-6806-4532-93BF-D4421156D263]
[ INFO ] GET /api/admin/vocab/topics [request-id: 1EB794EA-30E9-4365-9361-8ADDA7C63AEA]
[ INFO ] DELETE /api/admin/students/C19D29E3-ECD6-4AAC-908B-48C4AC64C567 [request-id: 7B3B6ADA-5444-4736-BD42-F6D265AD6AD0]
[ INFO ] GET /api/admin/students [request-id: C6F2EF40-B9A2-4923-9580-B0FA6FBEDF40]
[ INFO ] GET /api/games [request-id: F27FD8AA-F25F-4E7C-AF39-D3F92889665E]
[ INFO ] GET /api/admin/overview [request-id: 00E6D66E-FD18-4DFF-A736-EE28147721A8]
[ INFO ] GET /api/admin/vocab/topics [request-id: 6B91971B-B22D-4D0C-85F0-669A6F69D0F1]
[ INFO ] GET /api/admin/klassen/list [request-id: DE19A9B2-6278-40B7-996F-FF19622C6F49]
[ INFO ] GET /api/chat/all [request-id: 9F8BFDC7-8CCF-435A-8D68-C11B70C8A0C3]
[ INFO ] GET /api/admin/students/D6CD4259-9B6A-461F-98E2-44B58C7D6A7E/detail [request-id: 553D8AC5-740A-4672-B430-0339D7166539]
[ INFO ] DELETE /api/admin/students/B48DEC1D-ED15-4477-8A6A-85B1EFA3C70B [request-id: 08A6141B-7266-4900-A90D-CE820403608F]
[ INFO ] GET /api/admin/overview [request-id: 1E16AE7D-5E83-4704-AD40-9C473D912317]
[ INFO ] GET /api/games [request-id: 12A7E6A6-3078-4A43-82D3-2C5C54A6DDFE]
[ INFO ] GET /api/admin/students [request-id: 3F057D8E-C405-4FB3-823A-13F72C9C70B9]
[ INFO ] GET /api/admin/klassen/list [request-id: EF652105-E068-4070-86C8-7D70704E8318]
[ INFO ] GET /api/admin/vocab/topics [request-id: 419708B6-DA2C-4DFE-80F9-C0886978FCC7]
[ INFO ] GET /api/chat/all [request-id: 6593DDEB-48E1-4241-9E95-A9A5AC576634]
[ INFO ] DELETE /api/admin/students/D6CD4259-9B6A-461F-98E2-44B58C7D6A7E [request-id: 9580C608-B0CD-4472-850B-09F98C464213]
[ INFO ] GET /api/games [request-id: D16252DA-2B3E-49B7-981E-882B102E7EAA]
[ INFO ] GET /api/admin/students [request-id: 7058C5FF-EDA4-4EB4-93AB-64B7E40F0B86]
[ INFO ] GET /api/admin/overview [request-id: 71AF53B7-BD4B-43B1-88D5-5A467C0701FA]
[ INFO ] GET /api/admin/klassen/list [request-id: 31030386-DE66-4B9F-869A-A8A25E4DA1F3]
[ INFO ] GET /api/chat/all [request-id: D073B5EE-EB77-4719-B2AA-6DF1497E4947]
[ INFO ] GET /api/admin/vocab/topics [request-id: B4FDE04F-A343-4F05-80B8-91C600DDB9A7]
[ INFO ] DELETE /api/admin/students/F053C464-E3D2-41DB-811E-61A1D77ED133 [request-id: BDD66F2D-0555-4A80-99EC-490D6D728CF7]
[ INFO ] GET /api/admin/overview [request-id: 94CEC390-7C75-4120-BF92-6BD92A6BFCF1]
[ INFO ] GET /api/games [request-id: 80DB16D8-DF9F-4274-8AA0-54D913834D05]
[ INFO ] GET /api/admin/students [request-id: 63C53C85-5B69-4692-9DBB-D648A937F99B]
[ INFO ] GET /api/admin/klassen/list [request-id: B7F57F40-A87E-4422-8B29-273368716CBF]
[ INFO ] GET /api/admin/vocab/topics [request-id: C8C03A93-2642-4145-B228-83201A835EEA]
[ INFO ] GET /api/chat/all [request-id: DD50E0E1-B346-4264-ADA3-21D7EB960135]
[ INFO ] DELETE /api/admin/students/83A02363-FA7E-4B6F-BE1E-0B79C44FF12A [request-id: CC90FEE8-5289-41AB-9BD6-CEF807E253FD]
[ INFO ] GET /api/games [request-id: 53D3E410-CD51-4549-965F-9F5CE4798F7F]
[ INFO ] GET /api/admin/overview [request-id: F5B49DC5-BFDF-4349-84CE-875605FD569A]
[ INFO ] GET /api/admin/students [request-id: 517F8966-D078-463E-B238-0AEB50146349]
[ INFO ] GET /api/admin/klassen/list [request-id: 4B8506CC-BC01-4D30-90DC-20FE60099429]
[ INFO ] GET /api/admin/vocab/topics [request-id: 0B031C39-4D50-4790-ADE5-BBFE56F4631B]
[ INFO ] GET /api/chat/all [request-id: 0F0E95F0-B451-4FD9-9523-837362EF9757]
[ INFO ] GET /api/chat/unread [request-id: 3F445B70-1124-4B58-9896-6A2649080423]
[ INFO ] GET /api/chat/unread [request-id: 58BCE8C2-579C-4914-8BB2-A0784D3BA244]
[ INFO ] GET /api/chat/unread [request-id: BE48A65B-1806-4910-9705-54FCC4C7B540]
[ INFO ] GET /api/chat/unread [request-id: 7A53CAE9-C509-4A68-B90F-1C6BB0664DF4]
[ INFO ] GET /api/chat/unread [request-id: 395F7BA9-D338-4BB8-958C-B3C2310AE702]
[ INFO ] GET /api/chat/unread [request-id: 6B815EBE-EB62-4FC1-8853-5AF5732B02B6]
